Disease	Drug	Cooccurrence_Count	Sample_PMIDs
Diabetes Mellitus	Insulin	312	41354136,41350796,41345203,41337766,41337441,41337180,41337047,41336645,41336573,41334580
Diabetes Mellitus	Aspirin	6	41155717,41094370,41034711,40934219,40910183,40879032
Diabetes Mellitus	Atorvastatin	1	41313495
Diabetes Mellitus	Omeprazole	1	41036937
Diabetes Mellitus	Gabapentin	3	41086269,40961662,40856886
Diabetes Mellitus	Clopidogrel	4	41297983,41155717,40927932,40910183
Diabetes Mellitus	Levothyroxine	1	41029571
Hypertension	Insulin	6	41097150,40587674,40376699,40281491,39936290,39903552
Hypertension	Aspirin	8	41341951,41094370,40739172,40251953,40184665,40079828,40065523,40040304
Hypertension	Ibuprofen	2	40627752,39938855
Hypertension	Acetaminophen	2	41054100,39938855
Hypertension	Lisinopril	3	40156805,40156790,39938967
Hypertension	Atorvastatin	4	40947318,40139683,40122716,40023361
Hypertension	Metoprolol	6	41181342,41017575,40965515,40964132,40608195,40344462
Hypertension	Amlodipine	35	41292423,41212766,41180852,41162308,41152331,41073206,41017575,40983956,40965515,40884430
Hypertension	Warfarin	1	39993785
Hypertension	Clopidogrel	1	40251953
Hypertension	Levothyroxine	5	40999339,40795128,40239021,39976090,39898243
Asthma	Insulin	1	40132274
Asthma	Aspirin	19	40885289,40755081,40752740,40726272,40490219,40187489,40117239,40113018,40085481,39775459
Asthma	Ibuprofen	1	39187775
Asthma	Acetaminophen	1	39786878
Asthma	Prednisone	4	41120183,40577515,40467067,38913839
Asthma	Levothyroxine	2	41015767,39837879
Asthma	Albuterol	67	41285639,41285619,41250537,41106877,41059868,41033330,40993871,40931966,40887869,40888649
Alzheimer Disease	Insulin	20	41329488,41299186,41057918,41010550,40960061,40948440,40887229,40862772,40784568,40769128
Alzheimer Disease	Aspirin	1	40145346
Alzheimer Disease	Ibuprofen	1	41216660
Alzheimer Disease	Acetaminophen	1	40145346
Alzheimer Disease	Atorvastatin	1	40834163
Alzheimer Disease	Metoprolol	1	40145346
Alzheimer Disease	Amlodipine	1	40770370
Alzheimer Disease	Albuterol	1	41115645
Parkinson Disease	Insulin	7	40676250,40449678,39986600,39754628,39628315,39499190,39491667
Parkinson Disease	Aspirin	2	40447068,39920137
Parkinson Disease	Sertraline	1	40278973
Parkinson Disease	Fluoxetine	1	40670567
Parkinson Disease	Levothyroxine	1	39288996
Breast Neoplasms	Insulin	4	41042902,40937951,40806650,40806072
Breast Neoplasms	Aspirin	6	41219225,41041055,40986335,40691279,40644795,40616422
Breast Neoplasms	Atorvastatin	3	41118164,40956798,40613293
Breast Neoplasms	Prednisone	1	40754924
Breast Neoplasms	Levothyroxine	1	41187615
Rheumatoid Arthritis	Insulin	5	40643485,40366874,39768214,39442190,39342401
Rheumatoid Arthritis	Aspirin	1	39917854
Rheumatoid Arthritis	Atorvastatin	1	39874228
Rheumatoid Arthritis	Omeprazole	1	38984761
Rheumatoid Arthritis	Prednisone	11	41022418,40754924,40725873,40496856,40452367,40436757,40367657,39874233,39093523,38842395
Rheumatoid Arthritis	Warfarin	1	38984761
Rheumatoid Arthritis	Levothyroxine	3	41044072,40200606,39625822
Anxiety Disorders	Gabapentin	1	38100779
Anxiety Disorders	Sertraline	21	40879233,40485273,40197244,40073850,39248386,39114320,38797877,38704824,38703743,38568112
Anxiety Disorders	Fluoxetine	11	40680692,40583539,40316278,39645071,39514707,39440836,39354696,38789416,38703743,38014714
Epilepsy	Insulin	2	39987343,39146708
Epilepsy	Amoxicillin	1	40247384
Epilepsy	Atorvastatin	2	40561956,39288831
Epilepsy	Gabapentin	8	41026990,40699157,40596528,40514582,40306941,40266531,40080083,39568354
Epilepsy	Fluoxetine	2	39981956,39102253
Epilepsy	Levothyroxine	3	39949149,39797431,39699485
Migraine Disorders	Aspirin	4	38030397,36748728,36153693,34519136
Migraine Disorders	Ibuprofen	11	40781764,38030397,37177799,37145844,36599776,36153693,36031482,35686314,35523834,35313227
Migraine Disorders	Acetaminophen	13	41100185,40781764,40096693,38030397,37016498,36748728,36153693,35686314,35549792,35546653
Migraine Disorders	Atorvastatin	1	35037597
Migraine Disorders	Omeprazole	1	34811955
Migraine Disorders	Metoprolol	2	39953795,38621724
Migraine Disorders	Gabapentin	2	37208596,34873689
Migraine Disorders	Fluoxetine	1	38480665
Migraine Disorders	Prednisone	2	36437611,34851407
Migraine Disorders	Levothyroxine	4	40329276,37802494,36807966,36739509
Osteoporosis	Insulin	4	39004741,38953575,38941431,38742851
Osteoporosis	Aspirin	1	38741408
Osteoporosis	Acetaminophen	1	39404970
Osteoporosis	Atorvastatin	2	39616554,38728464
Osteoporosis	Sertraline	1	40062740
Osteoporosis	Prednisone	3	39923274,38508115,38102330
Osteoporosis	Warfarin	1	37842293
Osteoporosis	Levothyroxine	8	40335568,40179252,39901040,38581565,38342405,38075039,37986156,37847271
Obesity	Insulin	82	41340221,41334580,41329658,41328336,41305609,41254441,41236293,41233317,41228499,41220153
Obesity	Aspirin	3	41094370,40721951,40623657
Obesity	Gabapentin	1	40540060
Obesity	Fluoxetine	2	40858794,40610843
Obesity	Clopidogrel	1	40623657
Obesity	Levothyroxine	6	41024570,40934243,40789858,40530630,40457860,40420021
Heart Failure	Insulin	7	41320960,40709461,40556426,40369521,39998427,39907523,39662599
Heart Failure	Aspirin	7	41145146,40897219,40643853,40497467,40208135,39779056,39774588
Heart Failure	Atorvastatin	2	40516583,40116871
Heart Failure	Metoprolol	4	41072527,40265535,40159261,39757778
